No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
896,MPIX,Mitra Pedagang Indonesia Tbk.,07 Feb 2024,1.562.500.000,Pengembangan
897,ALII,Ancara Logistics Indonesia Tbk,07 Feb 2024,15.825.800.000,Utama
898,MKAP,Multikarya Asia Pasifik Raya T,12 Feb 2024,3.250.000.000,Pengembangan
899,MEJA,Harta Djaya Karya Tbk.,12 Feb 2024,1.917.500.000,Pemantauan Khusus
900,LIVE,Homeco Victoria Makmur Tbk.,12 Feb 2024,4.593.005.014,Pengembangan
901,HYGN,Ecocare Indo Pasifik Tbk.,13 Feb 2024,2.525.000.000,Pengembangan
902,BAIK,Bersama Mencapai Puncak Tbk.,15 Feb 2024,1.125.000.000,Pengembangan
903,VISI,Satu Visi Putra Tbk.,27 Feb 2024,3.075.000.000,Pengembangan
904,AREA,Dunia Virtual Online Tbk.,01 Apr 2024,2.539.601.000,Pengembangan
905,MHKI,Multi Hanna Kreasindo Tbk.,16 Apr 2024,3.750.000.000,Pengembangan
906,ATLA,Atlantis Subsea Indonesia Tbk.,16 Apr 2024,6.199.577.693,Pengembangan
907,DATA,Remala Abadi Tbk.,07 Mei 2024,1.375.000.000,Pengembangan
908,SOLA,Xolare RCR Energy Tbk.,08 Mei 2024,3.284.500.000,Pengembangan
909,BATR,Benteng Api Technic Tbk.,10 Jun 2024,3.025.037.353,Pengembangan
910,SPRE,Soraya Berjaya Indonesia Tbk.,03 Jul 2024,800.000.000,Akselerasi
911,PART,Cipta Perdana Lancar Tbk.,05 Jul 2024,2.720.014.489,Pengembangan
912,GOLF,Intra Golflink Resorts Tbk.,08 Jul 2024,19.486.760.000,Utama
913,ISEA,Indo American Seafoods Tbk.,08 Jul 2024,1.390.013.370,Pengembangan
914,BLES,Superior Prima Sukses Tbk.,08 Jul 2024,8.890.206.400,Pengembangan
915,GUNA,Gunanusa Eramandiri Tbk.,09 Jul 2024,2.500.000.000,Pengembangan
916,LABS,UBC Medical Indonesia Tbk.,10 Jul 2024,3.950.000.000,Pengembangan
917,DOSS,Global Sukses Digital Tbk.,07 Agt 2024,1.725.000.000,Pengembangan
918,NEST,Esta Indonesia Tbk.,08 Agt 2024,4.112.500.000,Pengembangan
919,PTMR,Master Print Tbk.,08 Okt 2024,1.907.000.000,Pengembangan
920,VERN,Verona Indah Pictures Tbk.,08 Okt 2024,4.765.562.351,Pengembangan
921,DAAZ,Daaz Bara Lestari Tbk.,11 Nov 2024,1.997.000.000,Utama
922,BOAT,Newport Marine Services Tbk.,12 Nov 2024,3.501.680.000,Pengembangan
923,NAIK,Adiwarna Anugerah Abadi Tbk.,13 Nov 2024,3.324.896.230,Pengembangan
924,AADI,Adaro Andalan Indonesia Tbk.,05 Des 2024,7.786.891.760,Utama
925,MDIY,Daya Intiguna Yasa Tbk.,19 Des 2024,25.190.392.000,Utama
926,KSIX,Kentanix Supra International T,08 Jan 2025,2.137.831.800,Pengembangan
927,RATU,Raharja Energi Cepu Tbk.,08 Jan 2025,2.715.053.800,Pengembangan
928,YOII,Asuransi Digital Bersama Tbk.,08 Jan 2025,3.424.687.500,Pengembangan
929,HGII,Hero Global Investment Tbk.,09 Jan 2025,6.500.000.000,Pengembangan
930,BRRC,Raja Roti Cemerlang Tbk.,09 Jan 2025,971.508.835,Pengembangan
931,DGWG,Delta Giri Wacana Tbk.,13 Jan 2025,5.882.353.000,Utama
932,CBDK,Bangun Kosambi Sukses Tbk.,13 Jan 2025,5.668.944.500,Utama
933,OBAT,Brigit Biofarmaka Teknologi Tb,13 Jan 2025,600.158.413,Pengembangan
934,MINE,Sinar Terang Mandiri Tbk.,10 Mar 2025,4.084.435.300,Utama
935,ASPR,Asia Pramulia Tbk.,08 Jul 2025,2.712.000.000,Pengembangan
936,PSAT,Pancaran Samudera Transport Tb,08 Jul 2025,1.482.353.000,Utama
937,COIN,Indokripto Koin Semesta Tbk.,09 Jul 2025,14.705.882.400,Pengembangan
938,CDIA,Chandra Daya Investasi Tbk.,09 Jul 2025,124.829.374.700,Pengembangan
939,BLOG,Trimitra Trans Persada Tbk.,10 Jul 2025,3.379.487.200,Utama
940,MERI,Merry Riana Edukasi Tbk.,10 Jul 2025,1.035.132.500,Pengembangan
941,CHEK,Diastika Biotekindo Tbk.,10 Jul 2025,4.113.331.485,Pengembangan
942,PMUI,Prima Multi Usaha Indonesia Tb,10 Jul 2025,5.800.000.000,Pengembangan
943,KAQI,Jantra Grupo Indonesia Tbk.,10 Mar 2025,2.075.800.000,Pengembangan
944,YUPI,Yupi Indo Jelly Gum Tbk.,25 Mar 2025,8.544.488.700,Utama
945,FORE,Fore Kopi Indonesia Tbk.,14 Apr 2025,8.918.359.270,Pengembangan
946,MDLA,Medela Potentia Tbk.,15 Apr 2025,14.012.825.000,Utama
947,DKHH,Cipta Sarana Medika Tbk.,08 Mei 2025,2.550.000.000,Pengembangan
948,AYLS,Agro Yasa Lestari Tbk.,12 Feb 2020,853.423.236,Pengembangan
949,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,7.431.530.800,Pemantauan Khusus
950,ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,681.823.317,Pengembangan
951,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,2.425.354.179,Pengembangan
952,BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,3.440.455.528,Pengembangan
953,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Pengembangan
954,CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,33.250.000.000,Pengembangan

